1 ; 01.10.2017 ; Gold ; 900 ; 62.35
2 ; 15.08.2018 ; Gold ; 900 ; 58.9
3 ; 16.01.2019 ; Gold ; 900 ; 66.84
4 ; 15.08.2019 ; Gold ; 900 ; 70.13
5 ; 25.09.2019 ; Gold ; 900 ; 76.68
6 ; 05.02.2020 ; Gold ; 900 ; 79.79
7 ; 11.03.2020 ; Gold ; 900 ; 87.43
8 ; 01.04.2020 ; Gold ; 900 ; 96.28
9 ; 04.05.2020 ; Gold ; 900 ; 108
10 ; 17.08.2020 ; Gold ; 900 ; 113.74
11 ; 22.09.2020 ; Gold ; 900 ; 132.36
12 ; 09.11.2020 ; Gold ; 900 ; 125.85
13 ; 23.03.2021 ; Gold ; 900 ; 114.76
14 ; 14.03.2022 ; Gold ; 900 ; 128.97
15 ; 14.04.2022 ; Gold ; 900 ; 150.77
16 ; 10.05.2022 ; Gold ; 900 ; 141.61
17 ; 23.05.2022 ; Gold ; 900 ; 128.83
18 ; 08.08.2022 ; Gold ; 900 ; 114.14
19 ; 09.01.2023 ; Gold ; 900 ; 126.95
20 ; 20.02.2023 ; Gold ; 900 ; 131.81
21 ; 24.04.2023 ; Gold ; 900 ; 147.67
22 ; 04.08.2023 ; Gold ; 900 ; 151.96
23 ; 18.09.2023 ; Gold ; 900 ; 158.12
24 ; 15.11.2023 ; Gold ; 900 ; 170.87
25 ; 12.04.2024 ; Gold ; 900 ; 188.75
26 ; 10.06.2024 ; Gold ; 900 ; 203.7
27 ; 12.10.2024 ; Gold ; 900 ; 224.23
28 ; 14.12.2024 ; Gold ; 900 ; 245.6
29 ; 27.02.2025 ; Gold ; 900 ; 255.48
30 ; 14.08.2025 ; Gold ; 900 ; 262.91
31 ; 04.10.2025 ; Gold ; 900 ; 297.7
32 ; 06.11.2025 ; Gold ; 900 ; 327.76
