1 ; TopUpTrustAccount ; 28.01.2022 00:00 ; 829 ; 1 ; 1250 ; 0 ; USD ; 0 ; 0 ; 0 ; BYN ; 0 ; 
2 ; TopUpTrustAccount ; 28.01.2022 00:00 ; 892 ; 2 ; 30000 ; 0 ; RUB ; 0 ; 0 ; 0 ; BYN ; 0 ; 
3 ; BuyStocks ; 28.01.2022 00:00 ; 0 ; 1 ; 1245.0 ; 0 ; USD ; 15 ; 1 ; 18 ; BYN ; 24 ; 
4 ; BuyStocks ; 28.01.2022 00:00 ; 0 ; 2 ; 25840 ; 0 ; RUB ; 100 ; 2 ; 8 ; BYN ; 25 ; 
5 ; PayBaseCommission ; 04.02.2022 00:00 ; 695 ; 1 ; 0.540 ; 0 ; BYN ; 0 ; 0 ; 0 ; BYN ; 0 ; 
6 ; PayBaseCommission ; 04.02.2022 00:00 ; 695 ; 2 ; 0.110 ; 0 ; BYN ; 0 ; 0 ; 0 ; BYN ; 0 ; 
7 ; EnrollCouponOrDividends ; 07.02.2022 00:00 ; 696 ; 1 ; 1.430 ; 0 ; USD ; 15 ; 1 ; 0 ; BYN ; 0 ; 2.05 - 30% налога
9 ; BuyBonds ; 08.02.2022 00:00 ; 0 ; 2 ; 3848.75 ; 5.850 ; RUB ; 5 ; 3 ; 8 ; BYN ; 25 ; 
10 ; TopUpTrustAccount ; 08.02.2022 00:00 ; 892 ; 2 ; 75000 ; 0 ; RUB ; 0 ; 0 ; 0 ; BYN ; 0 ; 
11 ; BuyStocks ; 09.02.2022 00:00 ; 0 ; 2 ; 37500 ; 0 ; RUB ; 10 ; 4 ; 8 ; BYN ; 25 ; 
12 ; BuyBonds ; 09.02.2022 00:00 ; 0 ; 2 ; 24600 ; 373.50 ; RUB ; 30 ; 5 ; 8 ; BYN ; 25 ; 
13 ; TopUpTrustAccount ; 10.02.2022 00:00 ; 829 ; 1 ; 120 ; 0 ; USD ; 0 ; 0 ; 0 ; BYN ; 0 ; 
14 ; TopUpTrustAccount ; 14.02.2022 00:00 ; 892 ; 2 ; 16000 ; 0 ; RUB ; 0 ; 0 ; 0 ; BYN ; 0 ; 
15 ; BuyBonds ; 14.02.2022 00:00 ; 0 ; 2 ; 20809.60 ; 60.760 ; RUB ; 28 ; 3 ; 8 ; BYN ; 25 ; 
16 ; TopUpTrustAccount ; 17.02.2022 00:00 ; 892 ; 2 ; 25000 ; 0 ; RUB ; 0 ; 0 ; 0 ; BYN ; 0 ; 
17 ; BuyBonds ; 18.02.2022 00:00 ; 0 ; 2 ; 31665.150 ; 31.68 ; RUB ; 33 ; 6 ; 8 ; BYN ; 25 ; 
18 ; TopUpTrustAccount ; 24.02.2022 00:00 ; 892 ; 2 ; 165000 ; 0 ; RUB ; 0 ; 0 ; 0 ; BYN ; 0 ; 
