1 ; 01.07.1991 ; 12
2 ; 28.01.1992 ; 20
3 ; 15.06.1992 ; 30
4 ; 10.03.1993 ; 60
5 ; 20.04.1993 ; 70
6 ; 01.06.1993 ; 100
7 ; 10.07.1993 ; 120
8 ; 20.07.1993 ; 140
9 ; 12.08.1993 ; 170
10 ; 15.10.1993 ; 180
11 ; 10.11.1993 ; 210
12 ; 10.10.1994 ; 300
13 ; 20.12.1994 ; 480
14 ; 21.02.1995 ; 300
15 ; 05.05.1995 ; 180
16 ; 22.05.1995 ; 144
17 ; 21.06.1995 ; 96
18 ; 21.08.1995 ; 66
19 ; 21.03.1996 ; 55
20 ; 02.09.1996 ; 35
21 ; 25.02.1997 ; 42
22 ; 20.08.1997 ; 38
23 ; 20.09.1997 ; 36
24 ; 01.12.1997 ; 40
25 ; 19.02.1998 ; 50
26 ; 01.04.1998 ; 44
27 ; 07.05.1998 ; 40
28 ; 01.08.1998 ; 38
29 ; 01.12.1998 ; 48
30 ; 20.01.1999 ; 60
31 ; 02.03.1999 ; 82
32 ; 01.04.1999 ; 90
33 ; 25.11.1999 ; 110
34 ; 14.12.1999 ; 120
35 ; 10.01.2000 ; 130
36 ; 25.01.2000 ; 150
37 ; 21.02.2000 ; 175
38 ; 15.03.2000 ; 150
39 ; 28.03.2000 ; 130
40 ; 20.04.2000 ; 110
41 ; 22.05.2000 ; 100
42 ; 22.06.2000 ; 90
43 ; 14.09.2000 ; 85
44 ; 01.12.2000 ; 80
45 ; 21.02.2001 ; 75
46 ; 21.03.2001 ; 70
47 ; 21.04.2001 ; 68
48 ; 21.05.2001 ; 64
49 ; 04.06.2001 ; 60
50 ; 21.06.2001 ; 55
51 ; 09.07.2001 ; 50
52 ; 21.09.2001 ; 48
53 ; 15.01.2002 ; 66
54 ; 15.03.2002 ; 60
55 ; 15.04.2002 ; 55
56 ; 21.05.2002 ; 50
57 ; 17.06.2002 ; 46
58 ; 19.07.2002 ; 44
59 ; 19.08.2002 ; 42
60 ; 19.09.2002 ; 40
61 ; 21.10.2002 ; 39
62 ; 21.11.2002 ; 38
63 ; 21.03.2003 ; 37
64 ; 21.04.2003 ; 35
65 ; 21.05.2003 ; 34
66 ; 23.06.2003 ; 33
67 ; 17.07.2003 ; 31
68 ; 18.08.2003 ; 30
69 ; 22.09.2003 ; 29
70 ; 22.10.2003 ; 28
71 ; 17.02.2004 ; 27
72 ; 17.03.2004 ; 25
73 ; 17.04.2004 ; 23
74 ; 17.05.2004 ; 22
75 ; 17.06.2004 ; 20
76 ; 19.07.2004 ; 19
77 ; 23.08.2004 ; 18
78 ; 20.09.2004 ; 17
79 ; 10.03.2005 ; 16
80 ; 06.04.2005 ; 15
81 ; 05.05.2005 ; 14
82 ; 01.06.2005 ; 13
83 ; 20.07.2005 ; 12
84 ; 25.11.2005 ; 11
85 ; 01.06.2006 ; 10.5
86 ; 01.12.2006 ; 10
87 ; 01.02.2007 ; 11
88 ; 01.07.2007 ; 10.75
89 ; 01.08.2007 ; 10.5
90 ; 01.09.2007 ; 10.25
91 ; 01.10.2007 ; 10
92 ; 01.07.2008 ; 10.25
93 ; 13.08.2008 ; 10.5
94 ; 15.10.2008 ; 10.75
95 ; 12.11.2008 ; 11
96 ; 17.12.2008 ; 12
97 ; 08.01.2009 ; 14
98 ; 01.12.2009 ; 13.5
99 ; 17.02.2010 ; 13
100 ; 19.04.2010 ; 12.5
101 ; 12.05.2010 ; 12
102 ; 14.07.2010 ; 11.5
103 ; 18.08.2010 ; 11
104 ; 15.09.2010 ; 10.5
105 ; 16.03.2011 ; 12
106 ; 20.04.2011 ; 13
107 ; 18.05.2011 ; 14
108 ; 01.06.2011 ; 16
109 ; 22.06.2011 ; 18
110 ; 13.07.2011 ; 20
111 ; 17.08.2011 ; 22
112 ; 01.09.2011 ; 27
113 ; 14.09.2011 ; 30
114 ; 14.10.2011 ; 35
115 ; 11.11.2011 ; 40
116 ; 12.12.2011 ; 45
117 ; 15.02.2012 ; 43
118 ; 01.03.2012 ; 38
119 ; 02.04.2012 ; 36
120 ; 16.05.2012 ; 34
121 ; 20.06.2012 ; 32
122 ; 18.07.2012 ; 31
123 ; 15.08.2012 ; 30.5
124 ; 12.09.2012 ; 30
125 ; 13.03.2013 ; 28.5
126 ; 17.04.2013 ; 27
127 ; 15.05.2013 ; 25
128 ; 10.06.2013 ; 23.5
129 ; 16.04.2014 ; 22.5
130 ; 19.05.2014 ; 21.5
131 ; 16.07.2014 ; 20.5
132 ; 13.08.2014 ; 20
133 ; 09.01.2015 ; 25
134 ; 01.04.2016 ; 24
135 ; 01.05.2016 ; 22
136 ; 01.07.2016 ; 20
137 ; 17.08.2016 ; 18
138 ; 18.01.2017 ; 17
139 ; 15.02.2017 ; 16
140 ; 15.03.2017 ; 15
141 ; 19.04.2017 ; 14
142 ; 14.06.2017 ; 13
143 ; 19.07.2017 ; 12
144 ; 13.09.2017 ; 11.5
145 ; 18.10.2017 ; 11
146 ; 14.02.2018 ; 10.5
147 ; 27.06.2018 ; 10
148 ; 14.08.2019 ; 9.5
149 ; 20.11.2019 ; 9
150 ; 19.02.2020 ; 8.75
151 ; 20.05.2020 ; 8
152 ; 01.07.2020 ; 7.75
153 ; 21.04.2021 ; 8.5
154 ; 21.07.2021 ; 9.25
155 ; 01.03.2022 ; 12
156 ; 23.01.2023 ; 11.5
157 ; 01.03.2023 ; 11
158 ; 03.04.2023 ; 10.5
159 ; 02.05.2023 ; 10
160 ; 31.05.2023 ; 9.75
161 ; 28.06.2023 ; 9.5
